AN_BASE;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;QT_ANO_EGRESSO_M;QT_ANO_EGRESSO_F;QT_ANO_EGRESSO_D;CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;ID_ADD_PRODUCAO_INTELECTUAL;NR_ORDEM;ID_PESSOA_DISCENTE;ID_PESSOA_DOCENTE;ID_PARTICIPANTE_PPG_IES;ID_PESSOA_PART_EXTERNO;NM_AUTOR;TP_AUTOR;NM_TP_CATEGORIA_DOCENTE;NM_NIVEL_DISCENTE;NM_ABNT_AUTOR;CD_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;ID_NATUREZA_ATUACAO;NM_NATUREZA_ATUACAO;ID_PAIS;NM_PAIS;IN_GLOSA
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700535;2;;18153;;;PAULO MARTINS ENGEL;DOCENTE;PERMANENTE;;ENGEL, P. M.;;;;;;;0
2015;2;25;4;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700535;1;432337;;;;RAFAEL COIMBRA PINTO;DISCENTE;;DOUTORADO;PINTO, R. C.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700537;3;;;1124053;76654;THIAGO TASCA NUNES;PARTICIPANTE EXTERNO;;;NUNES, T. T.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700537;2;;;858949;73030;MATEUS RAEDER;PARTICIPANTE EXTERNO;;;RAEDER, M.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700537;1;;;1121798;60304;ANDRIELE BUSATTO DO CARMO;PARTICIPANTE EXTERNO;;;CARMO, A. B.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700537;5;;;392022;534842;LUIZ GUSTAVO LEAO FERNANDES;PARTICIPANTE EXTERNO;;;FERNANDES, L. G.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700537;4;;462680;;;MARIANA LUDERITZ KOLBERG;DOCENTE;PERMANENTE;;KOLBERG, M. L.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700541;3;;16441;;;PHILIPPE OLIVIER ALEXANDRE NAVAUX;DOCENTE;PERMANENTE;;NAVAUX, P. O. A.;;;;;;;0
2015;2;25;0;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700541;1;823080;;;;EMMANUELL DIAZ CARRENO;DISCENTE;;DOUTORADO;CARRENO, E. D.;;;;;;;0
2015;2;25;0;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700541;2;812833;;;;ADIEL SEFFRIN SARATES JUNIOR;DISCENTE;;MESTRADO;JUNIOR, A. S. S.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700546;3;;17410;;;LUIGI CARRO;DOCENTE;PERMANENTE;;CARRO, L;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700546;2;1347531;;;;MARCELO BRANDALERO;DISCENTE;;DOUTORADO;BRANDALERO, M.;;;;;;;0
2015;2;25;1;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700546;1;;;1254071;610034;FERNANDA MATHIAS CAPELLA;PARTICIPANTE EXTERNO;;;CAPELLA, F. M.;;;;;;;0
2015;2;25;11;;7;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700546;4;;473438;;;ANTONIO CARLOS SCHNEIDER BECK FILHO;DOCENTE;PERMANENTE;;FILHO, A. C. S. B.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700550;3;;20919;;;DANTE AUGUSTO COUTO BARONE;DOCENTE;PERMANENTE;;BARONE, D. A. C.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700550;2;;;1168798;392894;PATRICIA RODRIGUES DA SILVA;PARTICIPANTE EXTERNO;;;SILVA, P. R.;;;;;;;0
2015;2;25;7;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700550;1;425921;;;;ALESSANDRO BOF DE OLIVEIRA;DISCENTE;;DOUTORADO;OLIVEIRA, A. B.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700554;4;;;1173981;97105;SERGIO DANIEL CARVALHO CANUTO;PARTICIPANTE EXTERNO;;;CANUTO, S. D. C.;;;;;;;0
2015;2;25;;;1;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700554;1;;;1173950;55757;GUILHERME DAL BIANCO;PARTICIPANTE EXTERNO;;;BIANCO, G. D.;;;;;;;0
2015;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10700554;3;;;455549;534907;MARCOS ANDRE GONCALVES;PARTICIPANTE EXTERNO;;;GONÇALVES, M.;;;;;;;0
