AN_BASE;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;QT_ANO_EGRESSO_M;QT_ANO_EGRESSO_F;QT_ANO_EGRESSO_D;CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;ID_ADD_PRODUCAO_INTELECTUAL;NR_ORDEM;ID_PESSOA_DISCENTE;ID_PESSOA_DOCENTE;ID_PARTICIPANTE_PPG_IES;ID_PESSOA_PART_EXTERNO;NM_AUTOR;TP_AUTOR;NM_TP_CATEGORIA_DOCENTE;NM_NIVEL_DISCENTE;NM_ABNT_AUTOR;CD_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;ID_NATUREZA_ATUACAO;NM_NATUREZA_ATUACAO;ID_PAIS;NM_PAIS;IN_GLOSA
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035659;3;;510552;;;LUCIANA SALETE BURIOL;DOCENTE;PERMANENTE;;BURIOL, L. S.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035659;2;;;856593;366644;OLINTO CESAR BASSI DE ARAUJO;PARTICIPANTE EXTERNO;;;ARAÚJO, OLINTO CÉSAR BASSI DE;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035659;1;;;1394881;76031;ARTON PEREIRA DORNELES;PARTICIPANTE EXTERNO;;;DORNELES, A. P.;;;;;;;0
2016;2;25;7;;2;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035660;2;;;1109571;318328;MARCO ANTONIO ZANATA ALVES;PARTICIPANTE EXTERNO;;;ALVES, M. A. Z.;;;;;;;0
2016;2;25;;;1;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035660;3;;;1376774;438251;MATTHIAS DIENER;PARTICIPANTE EXTERNO;;;DIENER, M.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035660;5;;;1376776;2494567;ISRAEL KOREN;PARTICIPANTE EXTERNO;;;KOREN, I.;;;;;;;0
2016;2;25;2;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035660;1;610468;;;;FRANCIS BIRCK MOREIRA;DISCENTE;;DOUTORADO;MOREIRA, F. B.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035660;4;;16441;;;PHILIPPE OLIVIER ALEXANDRE NAVAUX;DOCENTE;PERMANENTE;;NAVAUX, P. O. A.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035664;3;;510552;;;LUCIANA SALETE BURIOL;DOCENTE;PERMANENTE;;BURIOL, L. S.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035664;4;;515196;;;LUCIANO PASCHOAL GASPARY;DOCENTE;PERMANENTE;;GASPARY, L. P.;;;;;;;0
2016;2;25;2;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035664;1;610832;;;;MARCELO CAGGIANI LUIZELLI;DISCENTE;;DOUTORADO;LUIZELLI, M. C.;;;;;;;0
2016;2;25;7;;2;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035664;2;;;1376167;421803;WEVERTON LUIS DA COSTA CORDEIRO;PARTICIPANTE EXTERNO;;;CORDEIRO, W. L. C.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035667;3;;527412;;;LISANDRO ZAMBENEDETTI GRANVILLE;DOCENTE;PERMANENTE;;GRANVILLE, L. Z.;;;;;;;0
2016;2;25;;;1;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035667;4;;;1174794;440781;OSCAR MAURICIO CAICEDO RENDON;PARTICIPANTE EXTERNO;;;RENDON, O. M. C.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035667;1;;;1177191;2405163;FELIPE ESTRADA-SOLANO;PARTICIPANTE EXTERNO;;;ESTRADA-SOLANO, F.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035667;2;;;1177114;2405139;JOSÉ ARMANDO ORDÓÑEZ CÓRDOBA;PARTICIPANTE EXTERNO;;;CÓRDOBA, J. A. O.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035668;4;;17788;;;MARCELO WALTER;DOCENTE;PERMANENTE;;WALTER, M.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035668;2;;977521;;;ANDERSON MACIEL;DOCENTE;PERMANENTE;;MACIEL, A.;;;;;;;0
2016;2;25;2;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035668;1;608735;;;;AUGUSTO LUENGO PEREIRA NUNES;DISCENTE;;DOUTORADO;NUNES, A. L. P.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21035668;3;;;1118534;8816;LEANDRO TOTTI CAVAZZOLA;PARTICIPANTE EXTERNO;;;CAVAZZOLA, L. T.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036151;4;;;779765;1521002;MARIO INOSTROZA-PONTA;PARTICIPANTE EXTERNO;;;INOSTROZA-PONTA, M.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036151;1;1339093;;;;LEONARDO DE LIMA CORREA;DISCENTE;;MESTRADO;CORREA, L. L.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036151;3;;;1118540;2363370;CAMILO JAVIER FARFÁN PÉREZ;PARTICIPANTE EXTERNO;;;PÉREZ, C. J. F.;;;;;;;0
2016;2;25;0;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036151;2;1148881;;;;BRUNO BORGUESAN;DISCENTE;;MESTRADO;BORGUESAN, B.;;;;;;;0
2016;2;25;;;4;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036151;5;;51938;;;MARCIO DORN;DOCENTE;PERMANENTE;;DORN, M.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036152;3;;;1389314;511140;ADRIAO DUARTE DORIA NETO;PARTICIPANTE EXTERNO;;;DORIA NETO, A. D.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036152;1;191639;;;;CARLOS ALBERTO DE ARAUJO PADILHA;DISCENTE;;DOUTORADO;PADILHA, C. A. A.;;;;;;;0
2016;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;21036152;2;;20919;;;DANTE AUGUSTO COUTO BARONE;DOCENTE;PERMANENTE;;BARONE, D. A. C.;;;;;;;0
